TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.485	1.00E+00	1.00E+00	5.84E-11	5.84E-11
WAVE	0.486	1.00E+00	1.00E+00	2.42E-11	2.42E-11
WAVE	0.487	1.00E+00	1.00E+00	1.08E-11	1.08E-11
WAVE	0.488	1.00E+00	1.00E+00	5.14E-12	5.14E-12
WAVE	0.489	1.00E+00	1.00E+00	2.59E-12	2.59E-12
WAVE	0.49	1.00E+00	1.00E+00	1.39E-12	1.39E-12
WAVE	0.491	1.00E+00	1.00E+00	7.81E-13	7.81E-13
WAVE	0.492	1.00E+00	1.00E+00	4.63E-13	4.63E-13
WAVE	0.493	1.00E+00	1.00E+00	2.87E-13	2.87E-13
WAVE	0.494	1.00E+00	1.00E+00	1.87E-13	1.87E-13
WAVE	0.495	1.00E+00	1.00E+00	1.27E-13	1.27E-13
WAVE	0.496	1.00E+00	1.00E+00	8.94E-14	8.94E-14
WAVE	0.497	1.00E+00	1.00E+00	6.58E-14	6.58E-14
WAVE	0.498	1.00E+00	1.00E+00	5.02E-14	5.02E-14
WAVE	0.499	1.00E+00	1.00E+00	3.98E-14	3.98E-14
WAVE	0.5	1.00E+00	1.00E+00	3.27E-14	3.27E-14
WAVE	0.501	1.00E+00	1.00E+00	2.75E-14	2.75E-14
WAVE	0.502	1.00E+00	1.00E+00	2.39E-14	2.39E-14
WAVE	0.503	1.00E+00	1.00E+00	2.14E-14	2.14E-14
WAVE	0.504	1.00E+00	1.00E+00	1.97E-14	1.97E-14
WAVE	0.505	1.00E+00	1.00E+00	1.86E-14	1.86E-14
WAVE	0.506	1.00E+00	1.00E+00	1.81E-14	1.81E-14
WAVE	0.507	1.00E+00	1.00E+00	1.81E-14	1.81E-14
WAVE	0.508	1.00E+00	1.00E+00	1.85E-14	1.85E-14
WAVE	0.509	1.00E+00	1.00E+00	1.95E-14	1.95E-14
WAVE	0.51	1.00E+00	1.00E+00	2.11E-14	2.11E-14
